timestamp,frame,face_detected,cx,cy,target_yaw_deg,target_pitch_deg,commanded_yaw_deg,commanded_pitch_deg
1787842179.5703475,1,1,0.645472526550293,0.25039535760879517,-17.63117675449203,7.999957591981826,-5.0,5.0
1787842179.599953,2,1,0.6621204018592834,0.2458862066268921,-19.648888545990186,7.999957591981826,-10.0,7.999957591981826
1787842179.674239,3,0,,,,,-10.0,7.999957591981826
1787842179.7328668,4,1,0.6348481774330139,0.28181660175323486,-16.343512467425306,7.999957591981826,-14.999999999999998,7.999957591981826
1787842179.7993572,5,0,,,,,-14.999999999999998,7.999957591981826
1787842179.8681672,6,1,0.6500000357627869,0.2866152226924896,-18.179907962205494,7.999957591981826,-18.179907962205494,7.999957591981826
1787842179.945602,7,0,,,,,-18.179907962205494,7.999957591981826
1787842180.0003135,8,0,,,,,-18.179907962205494,7.999957591981826
1787842180.0683203,9,0,,,,,-18.179907962205494,7.999957591981826
1787842180.1319356,10,0,,,,,-18.179907962205494,7.999957591981826
1787842180.2001393,11,0,,,,,-18.179907962205494,7.999957591981826
1787842180.2699287,12,1,0.6580355167388916,0.25,-19.153803093861715,7.999957591981826,-19.153803093861715,7.999957591981826
1787842180.33162,13,1,0.6590549945831299,0.25,-19.277363153587768,7.999957591981826,-19.277363153587768,7.999957591981826
1787842180.3976672,14,1,0.6545275449752808,0.2549228370189667,-18.728639169918953,7.999957591981826,-18.728639169918953,7.999957591981826
1787842180.46656,15,1,0.6424241065979004,0.25,-17.2617102148154,7.999957591981826,-17.2617102148154,7.999957591981826
1787842180.5322428,16,1,0.6318901181221008,0.2545274794101715,-15.98499757944095,7.999957591981826,-15.98499757944095,7.999957591981826
1787842180.6079,17,1,0.6348481774330139,0.25,-16.343512467425306,7.999957591981826,-16.343512467425306,7.999957591981826
1787842180.6691344,18,1,0.6409450769424438,0.25,-17.082452770823224,7.999957591981826,-17.082452770823224,7.999957591981826
1787842180.731463,19,1,0.6348481774330139,0.25378796458244324,-16.343512467425306,7.999957591981826,-16.343512467425306,7.999957591981826
1787842180.796749,20,1,0.6419645547866821,0.25,-17.206012830549273,7.999957591981826,-17.206012830549273,7.999957591981826
1787842180.8702893,21,1,0.6512976288795471,0.2458862066268921,-18.337175414277297,7.999957591981826,-18.337175414277297,7.999957591981826
1787842180.933052,22,1,0.6567090153694153,0.2458862066268921,-18.993031980133743,7.999957591981826,-18.993031980133743,7.999957591981826
1787842180.9968443,23,1,0.6500000357627869,0.2549228370189667,-18.179907962205494,7.999957591981826,-18.179907962205494,7.999957591981826
1787842181.0740697,24,1,0.6545275449752808,0.25,-18.728639169918953,7.999957591981826,-18.728639169918953,7.999957591981826
1787842181.1309426,25,1,0.6621204018592834,0.25129759311676025,-19.648888545990186,7.999957591981826,-19.648888545990186,7.999957591981826
1787842181.2092667,26,1,0.6675317883491516,0.25129759311676025,-20.304745111846636,7.999957591981826,-20.304745111846636,7.999957591981826
1787842181.264058,27,0,,,,,-20.304745111846636,7.999957591981826
1787842181.3287542,28,0,,,,,-20.304745111846636,7.999957591981826
1787842181.397353,29,0,,,,,-20.304745111846636,7.999957591981826
1787842181.4653356,30,0,,,,,-20.304745111846636,7.999957591981826
1787842181.5304365,31,0,,,,,-20.304745111846636,7.999957591981826
1787842181.5971923,32,0,,,,,-20.304745111846636,7.999957591981826
1787842181.6633494,33,0,,,,,-20.304745111846636,7.999957591981826
1787842181.730031,34,0,,,,,-20.304745111846636,7.999957591981826
1787842181.7964492,35,0,,,,,-20.304745111846636,7.999957591981826
1787842181.862317,36,0,,,,,-20.304745111846636,7.999957591981826
1787842181.9308884,37,0,,,,,-20.304745111846636,7.999957591981826
1787842181.9964285,38,0,,,,,-20.304745111846636,7.999957591981826
1787842182.0643702,39,0,,,,,-20.304745111846636,7.999957591981826
1787842182.127802,40,0,,,,,-20.304745111846636,7.999957591981826
1787842182.1955411,41,0,,,,,-20.304745111846636,7.999957591981826
1787842182.2637258,42,1,0.6675317883491516,0.2567089796066284,-20.304745111846636,7.999957591981826,-20.304745111846636,7.999957591981826
1787842182.330144,43,1,0.6729431748390198,0.25129759311676025,-20.960601677703078,7.999957591981826,-20.960601677703078,7.999957591981826
1787842182.4156733,44,0,,,,,-20.960601677703078,7.999957591981826
1787842182.463597,45,1,0.6675317883491516,0.25129759311676025,-20.304745111846636,7.999957591981826,-20.304745111846636,7.999957591981826
1787842182.5306258,46,1,0.6512976288795471,0.25129759311676025,-18.337175414277297,7.999957591981826,-18.337175414277297,7.999957591981826
1787842182.595855,47,1,0.6621204018592834,0.25129759311676025,-19.648888545990186,7.999957591981826,-19.648888545990186,7.999957591981826
1787842182.662004,48,0,,,,,-19.648888545990186,7.999957591981826
1787842182.728696,49,1,0.6567090153694153,0.25129759311676025,-18.993031980133743,7.999957591981826,-18.993031980133743,7.999957591981826
1787842182.7972403,50,0,,,,,-18.993031980133743,7.999957591981826
1787842182.861394,51,1,0.6500000357627869,0.25,-18.179907962205494,7.999957591981826,-18.179907962205494,7.999957591981826
1787842182.9313116,52,1,0.6512976288795471,0.25129759311676025,-18.337175414277297,7.999957591981826,-18.337175414277297,7.999957591981826
