timestamp,frame,face_detected,face_score,face_latency_ms,emotion_latency_ms,total_latency_ms,predicted_emotion,pipeline_fps
1787848356.8047032,1,1,0.69140625,23.28014373779297,16.50524139404297,63.671112060546875,neutral,15.705709663890719
1787848356.8782105,2,1,0.69140625,9.421586990356445,15.759468078613281,38.44261169433594,neutral,19.586005939817323
1787848356.9131787,3,1,0.69140625,9.27281379699707,14.303922653198242,34.4996452331543,neutral,21.95978345474155
1787848356.9679282,4,1,0.5,9.263753890991211,14.75071907043457,35.65049171447754,neutral,23.220192463395833
1787848357.0707679,5,1,0.5,9.447336196899414,15.229940414428711,37.01210021972656,neutral,23.89189841951224
1787848357.1052392,6,1,0.5,9.369373321533203,13.854026794433594,34.062862396240234,neutral,24.656977946125803
1787848357.1684954,7,1,0.5,9.215831756591797,14.72926139831543,35.50910949707031,neutral,25.103288123101336
1787848357.2503796,8,1,0.5,8.574962615966797,15.758037567138672,40.16423225402832,neutral,25.077413578429248
1787848357.2972004,9,1,0.69140625,8.756399154663086,14.111518859863281,34.61456298828125,neutral,25.450564920328638
1787848357.369583,10,1,0.5,8.97979736328125,14.493703842163086,35.4306697845459,neutral,25.703148315536286
1787848357.4303498,11,1,0.5,9.03177261352539,14.1754150390625,34.30962562561035,neutral,25.982184228458156
1787848357.5112376,12,1,0.5,9.060859680175781,14.406204223632812,34.508466720581055,neutral,26.20799815045179
1787848357.5662282,13,1,0.5,8.94474983215332,13.870716094970703,34.0576171875,neutral,26.426357171486494
1787848357.628999,14,1,0.5,8.968353271484375,14.364242553710938,35.0344181060791,neutral,26.56710199967244
1787848357.6961696,15,1,0.5,8.881330490112305,14.120817184448242,34.416913986206055,neutral,26.71965759187163
1787848357.8798087,16,1,0.5,9.235382080078125,14.935970306396484,36.74626350402832,neutral,26.750006178395388
1787848357.9152546,17,1,0.5,9.182214736938477,14.569997787475586,35.01319885253906,neutral,26.850136202843956
1787848357.9497106,18,1,0.5,8.86392593383789,14.069318771362305,33.968210220336914,neutral,26.981971508228348
1787848357.9830983,19,1,0.5,8.788824081420898,13.705730438232422,32.958269119262695,neutral,27.140128351657932
1787848358.1188698,20,1,0.5,9.279489517211914,15.06185531616211,37.56523132324219,neutral,27.11365837197967
1787848358.15381,21,1,0.5,9.012699127197266,14.27602767944336,34.43717956542969,neutral,27.199507891157975
1787848358.188194,22,1,0.69140625,8.990287780761719,14.196157455444336,33.93435478210449,neutral,27.295043333523633
1787848358.3531322,23,1,0.69140625,9.010791778564453,14.756202697753906,38.0401611328125,neutral,27.249657433737333
1787848358.3883364,24,1,0.69140625,9.161710739135742,14.163970947265625,34.65628623962402,neutral,27.31296441508052
1787848358.4234655,25,1,0.69140625,9.133338928222656,14.373779296875,34.58809852600098,neutral,27.373510784016073
1787848358.455969,26,1,0.69140625,9.11092758178711,13.315439224243164,31.983375549316406,neutral,27.50522136083017
1787848358.496922,27,1,0.83203125,9.238481521606445,14.611482620239258,34.50751304626465,neutral,27.557134117823406
1787848358.5622716,28,1,0.69140625,9.259939193725586,13.976097106933594,34.38377380371094,neutral,27.60888276196705
1787848358.7011702,29,1,0.69140625,9.386777877807617,15.099287033081055,36.68832778930664,neutral,27.59658444814915
1787848358.7363486,30,1,0.69140625,9.334087371826172,14.143228530883789,34.61170196533203,neutral,27.637889498626773
1787848358.787216,31,1,0.83203125,8.944034576416016,14.307498931884766,34.554243087768555,neutral,28.3996911514809
1787848358.9443235,32,1,0.69140625,9.080648422241211,15.567779541015625,37.28008270263672,neutral,28.43097988487892
1787848358.9798498,33,1,0.69140625,9.00888442993164,14.290094375610352,34.99007225036621,neutral,28.417771947987188
1787848359.0138566,34,1,0.69140625,8.860349655151367,13.668298721313477,33.51473808288574,neutral,28.47538083231158
1787848359.0468915,35,1,0.69140625,8.992671966552734,13.96036148071289,32.58824348449707,neutral,28.595454102304856
1787848359.0925817,36,1,0.69140625,8.555173873901367,12.814044952392578,31.433582305908203,neutral,28.667299570705154
1787848359.1707242,37,1,0.69140625,9.22250747680664,15.372753143310547,36.69095039367676,neutral,28.634960976258053
1787848359.2292917,38,1,0.69140625,9.093284606933594,14.874935150146484,35.74252128601074,neutral,28.756327556126994
1787848359.295405,39,1,0.69140625,9.325504302978516,15.031576156616211,36.09108924865723,neutral,28.7156857934752
1787848359.3638434,40,1,0.69140625,8.857011795043945,14.796972274780273,35.604000091552734,neutral,28.710922365652344
1787848359.4302585,41,1,0.69140625,9.007930755615234,14.973878860473633,35.67194938659668,neutral,28.673538215852204
1787848359.502356,42,1,0.69140625,9.257078170776367,15.34271240234375,36.930084228515625,neutral,28.607325281636232
1787848359.5600715,43,1,0.69140625,9.008646011352539,13.840913772583008,34.708499908447266,neutral,28.589580668827733
1787848359.6272342,44,1,0.69140625,8.910894393920898,14.10055160522461,34.51728820800781,neutral,28.60367706329588
1787848359.6947677,45,1,0.69140625,9.090900421142578,14.659881591796875,34.69991683959961,neutral,28.595960993954648
1787848359.7632334,46,1,0.69140625,8.784294128417969,15.010833740234375,36.786556243896484,neutral,28.594862751425435
1787848359.8266413,47,1,0.69140625,9.066343307495117,14.418840408325195,34.95430946350098,neutral,28.59646790357539
1787848359.8934414,48,1,0.69140625,8.567333221435547,14.487981796264648,34.16848182678223,neutral,28.591009822079194
1787848359.9605389,49,1,0.69140625,9.10806655883789,14.707088470458984,34.8658561706543,neutral,28.539125843387758
1787848360.0274494,50,1,0.69140625,8.736371994018555,15.194177627563477,35.83264350891113,neutral,28.58624220392995
1787848360.0940616,51,1,0.83203125,9.107112884521484,14.672994613647461,34.839630126953125,neutral,28.57528401187712
1787848360.1633742,52,1,0.69140625,8.901596069335938,14.307022094726562,34.891605377197266,neutral,28.549253081153687
1787848360.2308788,53,1,0.83203125,8.885622024536133,14.690160751342773,34.603118896484375,neutral,28.64293935111668
1787848360.2945511,54,1,0.69140625,9.003877639770508,14.974355697631836,36.21721267700195,neutral,28.600315803518114
1787848360.366457,55,1,0.69140625,9.173154830932617,14.58287239074707,35.83669662475586,neutral,28.566312084431377
1787848360.4289541,56,1,0.69140625,9.113788604736328,14.21046257019043,34.90900993347168,neutral,28.48695257657832
1787848360.4968467,57,1,0.69140625,9.070396423339844,14.7552490234375,35.57419776916504,neutral,28.458127721187555
1787848360.559174,58,1,0.69140625,9.380817413330078,14.340639114379883,35.782814025878906,neutral,28.420409985858583
1787848360.627175,59,1,0.69140625,9.061336517333984,14.481782913208008,34.73472595214844,neutral,28.473106269490117
1787848360.692754,60,1,0.69140625,8.865833282470703,14.573812484741211,34.978389739990234,neutral,28.463200373690977
1787848360.7607622,61,1,0.69140625,8.692741394042969,15.648365020751953,36.17286682128906,neutral,28.419556260635105
1787848360.8298132,62,1,0.69140625,8.615732192993164,15.741825103759766,38.22183609008789,neutral,28.394224624416452
1787848360.8957462,63,1,0.69140625,9.084224700927734,15.189170837402344,36.14640235900879,neutral,28.363182920028475
1787848360.9612956,64,1,0.5,9.25755500793457,15.224933624267578,36.29922866821289,neutral,28.288710987530894
1787848361.029114,65,1,0.5,9.15074348449707,15.146970748901367,36.01837158203125,neutral,28.197507182201587
1787848361.075128,66,0,,9.046316146850586,,19.239425659179688,,28.524439878366206
1787848361.1605892,67,1,0.5,9.149789810180664,15.332937240600586,37.17970848083496,neutral,28.511190204933968
1787848361.2289662,68,1,0.5,9.11259651184082,14.793634414672852,35.863637924194336,neutral,28.507908774053927
1787848361.2771585,69,0,,9.37032699584961,,19.45948600769043,,28.965694414966226
1787848361.342165,70,0,,8.926868438720703,,19.444704055786133,,29.424785041824737
1787848361.412711,71,0,,9.17506217956543,,19.2568302154541,,29.90628758960006
1787848361.4754002,72,0,,9.236812591552734,,18.990516662597656,,30.450856359186613
1787848361.544059,73,0,,9.295225143432617,,18.87345314025879,,30.948288965528437
1787848361.6140225,74,0,,9.298086166381836,,18.72396469116211,,31.46086653878542
1787848361.6763692,75,0,,9.180307388305664,,18.958568572998047,,31.988936118285913
1787848361.7432463,76,0,,9.438753128051758,,19.143104553222656,,32.60228867957087
1787848361.812426,77,0,,9.340524673461914,,19.05345916748047,,33.1755670245793
1787848361.8930933,78,1,0.5,9.183883666992188,15.455245971679688,36.218881607055664,neutral,33.10051362318078
1787848361.9486277,79,0,,9.316444396972656,,19.036293029785156,,33.6889091415841
1787848362.0126274,80,0,,9.305000305175781,,18.49985122680664,,34.35764971608254
1787848362.0945199,81,1,0.5,8.768320083618164,15.180110931396484,35.794734954833984,neutral,34.32010905704821
1787848362.1577826,82,1,0.5,9.427785873413086,14.600515365600586,35.77923774719238,neutral,34.28529389566005
1787848362.2284222,83,1,0.5,9.079933166503906,14.808416366577148,35.55464744567871,neutral,34.24805092578983
1787848362.2941825,84,1,0.5,9.160757064819336,15.637874603271484,37.08648681640625,neutral,34.21409805807872
1787848362.3614378,85,1,0.69140625,9.373188018798828,15.895843505859375,38.95235061645508,neutral,34.09295522934806
1787848362.4278717,86,1,0.5,9.567737579345703,14.533042907714844,36.218881607055664,neutral,34.04228057550064
1787848362.4933963,87,1,0.5,9.44375991821289,15.671253204345703,37.09840774536133,neutral,33.98350318001714
1787848362.5598853,88,1,0.5,9.545087814331055,14.726638793945312,36.37337684631348,neutral,33.960784102042304
1787848362.6294034,89,1,0.5,9.15074348449707,14.81318473815918,35.56656837463379,neutral,33.92883442596826
1787848362.708229,90,1,0.5,9.435653686523438,14.563322067260742,36.063194274902344,neutral,33.887259104016
1787848362.767399,91,1,0.5,8.996009826660156,14.195680618286133,34.8353385925293,neutral,33.93853476101122
1787848362.830222,92,1,0.5,9.216547012329102,14.712095260620117,35.89367866516113,neutral,34.02815841012236
1787848362.8900762,93,1,0.5,9.21773910522461,14.612913131713867,34.964799880981445,neutral,34.073826146719675
