timestamp,frame,face_detected,face_score,face_latency_ms,emotion_latency_ms,total_latency_ms,predicted_emotion,pipeline_fps
1787848326.1937459,1,1,0.5,81.18009567260742,7.480382919311523,112.33949661254883,neutral,8.901588756881571
1787848326.2601595,2,1,0.5,53.18260192871094,7.578134536743164,66.16806983947754,neutral,11.204006865095531
1787848326.328404,3,1,0.69140625,55.22418022155762,7.536649703979492,68.10617446899414,neutral,12.164772282339156
1787848326.3945029,4,1,0.5,52.89459228515625,7.60650634765625,65.93179702758789,neutral,12.798135037390029
1787848326.460204,5,1,0.5,52.481651306152344,7.657766342163086,65.5062198638916,neutral,13.225702292541168
1787848326.5261676,6,1,0.5,53.07483673095703,7.582664489746094,65.82999229431152,neutral,13.517113507271286
1787848326.5920832,7,1,0.69140625,53.132057189941406,7.526636123657227,65.7656192779541,neutral,13.734987013570258
1787848326.6574266,8,1,0.69140625,52.60276794433594,7.503986358642578,65.19198417663574,neutral,13.91693166175249
1787848326.8404744,9,0,,78.71508598327637,,87.84914016723633,,13.581041598234513
1787848326.9057467,10,1,0.5,52.49905586242676,7.486581802368164,65.11521339416504,neutral,13.739968486190596
1787848326.9766045,11,0,,53.331851959228516,,58.23516845703125,,13.994218787061488
1787848327.033882,12,0,,52.44588851928711,,57.08646774291992,,14.232759215501748
1787848327.1005306,13,1,0.5,53.05051803588867,8.24117660522461,66.5125846862793,neutral,14.291400566875772
1787848327.1872654,14,0,,56.83183670043945,,62.407493591308594,,14.402619146079498
1787848327.2523715,15,1,0.5,52.16360092163086,7.602214813232422,64.94498252868652,neutral,14.464936165536217
1787848327.4399447,16,0,,78.6738395690918,,87.58807182312012,,14.227553116249409
1787848327.497107,17,0,,52.42109298706055,,57.01136589050293,,14.387395184008223
1787848327.5623348,18,1,0.5,52.41894721984863,7.573604583740234,65.10305404663086,neutral,14.438198901550944
1787848327.6254668,19,0,,57.84773826599121,,62.95585632324219,,14.50770671747012
1787848327.691696,20,1,0.5,53.08723449707031,7.596492767333984,66.05243682861328,neutral,14.538040789177467
1787848327.7494102,21,0,,52.99711227416992,,57.55138397216797,,14.651988348326547
1787848327.8066552,22,0,,52.56175994873047,,57.11102485656738,,14.761498490330727
1787848327.8641794,23,0,,52.8254508972168,,57.36136436462402,,14.860521450008926
1787848327.9217634,24,0,,52.869319915771484,,57.43122100830078,,14.951816060362601
1787848327.9786196,25,0,,52.188873291015625,,56.697845458984375,,15.04343917590022
1787848328.035972,26,0,,52.53243446350098,,57.1286678314209,,15.125224967322872
1787848328.0959933,27,0,,52.76679992675781,,57.497262954711914,,15.198595320930595
1787848328.159619,28,0,,52.30879783630371,,57.13176727294922,,15.270408446537875
1787848328.2294385,29,0,,52.87933349609375,,57.49344825744629,,15.334948253060123
1787848328.2976875,30,0,,56.113243103027344,,60.79292297363281,,15.369654814902036
1787848328.3772237,31,0,,54.58831787109375,,60.06431579589844,,15.79260795853605
1787848328.4348633,32,0,,52.808284759521484,,57.46912956237793,,15.865259717744427
1787848328.4918194,33,0,,52.28614807128906,,56.81157112121582,,15.9605933074632
1787848328.5588338,34,0,,52.56986618041992,,57.46269226074219,,16.03283294354194
1787848328.637454,35,1,0.5,52.61659622192383,7.506847381591797,65.41109085083008,neutral,16.03364808756984
1787848328.6948302,36,0,,52.65688896179199,,57.215213775634766,,16.10781185053208
1787848328.7576218,37,0,,53.19023132324219,,57.813167572021484,,16.176885315198845
1787848328.8262746,38,0,,53.327322006225586,,58.14313888549805,,16.238607375138457
1787848328.89344,39,0,,53.270816802978516,,58.1822395324707,,16.50362766254508
1787848328.9570115,40,0,,52.7033805847168,,57.55877494812012,,16.572518875853014
1787848329.0253022,41,0,,52.62351036071777,,57.248592376708984,,16.581555851822607
1787848329.0899007,42,0,,52.64544486999512,,57.42812156677246,,16.57842520855259
1787848329.1578834,43,0,,52.70218849182129,,57.430267333984375,,16.66205233745745
1787848329.2225547,44,0,,52.39748954772949,,57.16848373413086,,16.71067631500383
1787848329.2953444,45,0,,55.76348304748535,,60.54973602294922,,16.751688660040585
1787848329.3715267,46,0,,54.97312545776367,,59.83304977416992,,17.01539523376285
1787848329.4307563,47,0,,54.456233978271484,,59.06534194946289,,16.99559580967771
1787848329.4914918,48,0,,54.20398712158203,,58.83526802062988,,17.056159250852136
1787848329.5578048,49,0,,54.5957088470459,,59.397220611572266,,17.090737605698997
1787848329.6256182,50,0,,53.23624610900879,,57.94048309326172,,17.170085879685477
1787848329.694491,51,0,,53.731441497802734,,58.5179328918457,,17.160592795364604
1787848329.757316,52,0,,53.534507751464844,,58.2280158996582,,17.14963519119394
1787848329.8261158,53,0,,53.8485050201416,,58.44449996948242,,17.1390230620428
