timestamp,frame,face_detected,recentering,cx,cy,target_yaw_deg,target_pitch_deg,commanded_yaw_deg,commanded_pitch_deg
1787843775.3705127,1,0,0,,,,,0.0,0.0
1787843775.4120202,2,0,0,,,,,0.0,0.0
1787843775.4700508,3,0,0,,,,,0.0,0.0
1787843775.5383403,4,0,0,,,,,0.0,0.0
1787843775.6069016,5,0,0,,,,,0.0,0.0
1787843775.6723542,6,0,0,,,,,0.0,0.0
1787843775.7366958,7,0,0,,,,,0.0,0.0
1787843775.8071952,8,0,0,,,,,0.0,0.0
1787843775.871946,9,0,0,,,,,0.0,0.0
1787843775.9380174,10,0,0,,,,,0.0,0.0
1787843776.0077145,11,0,0,,,,,0.0,0.0
1787843776.0753424,12,0,0,,,,,0.0,0.0
1787843776.136714,13,0,0,,,,,0.0,0.0
1787843776.210986,14,0,0,,,,,0.0,0.0
1787843776.2711353,15,0,0,,,,,0.0,0.0
1787843776.3363373,16,0,0,,,,,0.0,0.0
1787843776.4065652,17,0,0,,,,,0.0,0.0
1787843776.469826,18,0,0,,,,,0.0,0.0
1787843776.5365303,19,0,0,,,,,0.0,0.0
1787843776.6066725,20,0,0,,,,,0.0,0.0
1787843776.6694238,21,0,0,,,,,0.0,0.0
1787843776.7372174,22,0,0,,,,,0.0,0.0
1787843776.8042967,23,0,0,,,,,0.0,0.0
1787843776.869143,24,0,0,,,,,0.0,0.0
1787843776.935518,25,0,0,,,,,0.0,0.0
1787843777.0029569,26,0,0,,,,,0.0,0.0
1787843777.0681663,27,0,0,,,,,0.0,0.0
1787843777.137263,28,0,0,,,,,0.0,0.0
1787843777.201713,29,0,0,,,,,0.0,0.0
1787843777.2700117,30,0,0,,,,,0.0,0.0
1787843777.3536654,31,0,1,,,,,0.0,0.0
1787843777.402476,32,0,1,,,,,0.0,0.0
1787843777.4663951,33,0,1,,,,,0.0,0.0
1787843777.546902,34,0,1,,,,,0.0,0.0
1787843777.6026568,35,0,1,,,,,0.0,0.0
1787843777.6705456,36,0,1,,,,,0.0,0.0
1787843777.7331183,37,0,1,,,,,0.0,0.0
1787843777.8027892,38,0,1,,,,,0.0,0.0
1787843777.868414,39,0,1,,,,,0.0,0.0
1787843777.9325936,40,0,1,,,,,0.0,0.0
1787843777.9996104,41,0,1,,,,,0.0,0.0
1787843778.0667384,42,0,1,,,,,0.0,0.0
1787843778.1321073,43,0,1,,,,,0.0,0.0
1787843778.1976428,44,0,1,,,,,0.0,0.0
1787843778.2685816,45,0,1,,,,,0.0,0.0
1787843778.3333747,46,1,0,0.6312175989151001,0.48293399810791016,-15.903488683633592,1.085391966641133,-5.0,1.085391966641133
1787843778.4006958,47,1,0,0.6234132647514343,0.47512954473495483,-14.957608397137427,1.5817525699384576,-10.0,1.5817525699384576
1787843778.4680073,48,1,0,0.6211044192314148,0.4593040645122528,-14.677777803501536,2.588247776640646,-14.677777803501536,2.588247776640646
1787843778.541086,49,1,0,0.6140696406364441,0.4452345371246338,-13.82516715750602,3.4830649750400693,-13.82516715750602,3.4830649750400693
1787843778.595333,50,0,0,,,,,-13.82516715750602,3.4830649750400693
1787843778.6663363,51,0,0,,,,,-13.82516715750602,3.4830649750400693
1787843778.7288363,52,0,0,,,,,-13.82516715750602,3.4830649750400693
1787843778.7967052,53,0,0,,,,,-13.82516715750602,3.4830649750400693
1787843778.8648162,54,1,0,0.48658210039138794,0.36536720395088196,1.6262408118118454,7.999957591981826,-8.82516715750602,7.999957591981826
1787843778.9305384,55,0,0,,,,,-8.82516715750602,7.999957591981826
1787843778.997226,56,1,0,0.5469347238540649,0.3693886399269104,-5.688458376422045,7.999957591981826,-5.688458376422045,7.999957591981826
1787843779.0625823,57,1,0,0.5555293560028076,0.3431895971298218,-6.7301222709577155,7.999957591981826,-6.7301222709577155,7.999957591981826
1787843779.1815722,58,1,0,0.5385314226150513,0.3480507731437683,-4.6699836652189655,7.999957591981826,-4.6699836652189655,7.999957591981826
1787843779.2018297,59,1,0,0.5469347238540649,0.33877721428871155,-5.688458376422045,7.999957591981826,-5.688458376422045,7.999957591981826
1787843779.2662332,60,1,0,0.5921956300735474,0.3248705267906189,-11.174051130929513,7.999957591981826,-10.688458376422046,7.999957591981826
1787843779.4071076,61,1,0,0.5827714800834656,0.31850987672805786,-10.03185020697339,7.999957591981826,-10.03185020697339,7.999957591981826
1787843779.4281135,62,1,0,0.5921956300735474,0.3248705267906189,-11.174051130929513,7.999957591981826,-11.174051130929513,7.999957591981826
1787843779.4743023,63,1,0,0.5987187623977661,0.31850987672805786,-11.964650577633146,7.999957591981826,-11.964650577633146,7.999957591981826
1787843779.557709,64,1,0,0.5925487875938416,0.3246796727180481,-11.216853595492003,7.999957591981826,-11.216853595492003,7.999957591981826
1787843779.6664896,65,1,0,0.6078044176101685,0.3248705267906189,-13.065826152011145,7.999957591981826,-13.065826152011145,7.999957591981826
1787843779.744695,66,1,0,0.6000000238418579,0.32662639021873474,-12.119938641470329,7.999957591981826,-12.119938641470329,7.999957591981826
1787843779.765128,67,1,0,0.6312175989151001,0.33267486095428467,-15.903488683633592,7.999957591981826,-15.903488683633592,7.999957591981826
1787843779.840241,68,1,0,0.6312175989151001,0.3404793441295624,-15.903488683633592,7.999957591981826,-15.903488683633592,7.999957591981826
1787843779.8804145,69,1,0,0.646826446056366,0.33267486095428467,-17.795270928759876,7.999957591981826,-17.795270928759876,7.999957591981826
1787843779.931108,70,0,0,,,,,-17.795270928759876,7.999957591981826
1787843780.0837429,71,0,0,,,,,-17.795270928759876,7.999957591981826
1787843780.1044939,72,0,0,,,,,-17.795270928759876,7.999957591981826
1787843780.175177,73,0,0,,,,,-17.795270928759876,7.999957591981826
1787843780.2219968,74,0,0,,,,,-17.795270928759876,7.999957591981826
1787843780.2698803,75,0,0,,,,,-17.795270928759876,7.999957591981826
1787843780.43276,76,0,0,,,,,-17.795270928759876,7.999957591981826
1787843780.4541416,77,0,0,,,,,-17.795270928759876,7.999957591981826
1787843780.4741912,78,0,0,,,,,-17.795270928759876,7.999957591981826
1787843780.5672338,79,0,0,,,,,-17.795270928759876,7.999957591981826
1787843780.5966246,80,0,0,,,,,-17.795270928759876,7.999957591981826
1787843780.6695657,81,0,0,,,,,-17.795270928759876,7.999957591981826
1787843780.7874053,82,1,0,0.6703479886054993,0.3406960070133209,-20.646066773559472,7.999957591981826,-20.646066773559472,7.999957591981826
1787843780.8084776,83,0,0,,,,,-20.646066773559472,7.999957591981826
1787843780.8649433,84,0,0,,,,,-20.646066773559472,7.999957591981826
1787843780.9472406,85,0,0,,,,,-20.646066773559472,7.999957591981826
1787843781.0954218,86,0,0,,,,,-20.646066773559472,7.999957591981826
1787843781.1166306,87,1,0,0.635174036026001,0.3195915222167969,-16.383006319537227,7.999957591981826,-16.383006319537227,7.999957591981826
1787843781.1364822,88,1,0,0.6156088709831238,0.3170660138130188,-14.011720886596612,7.999957591981826,-14.011720886596612,7.999957591981826
1787843781.2505047,89,1,0,0.6012812852859497,0.3185098469257355,-12.275226705307512,7.999957591981826,-12.275226705307512,7.999957591981826
1787843781.2711139,90,1,0,0.6136211156845093,0.3123399019241333,-13.770806221500491,7.999957591981826,-13.770806221500491,7.999957591981826
1787843781.4402604,91,1,0,0.6012812852859497,0.3061699867248535,-12.275226705307512,7.999957591981826,-12.275226705307512,7.999957591981826
1787843781.4614713,92,1,0,0.6000000238418579,0.29848718643188477,-12.119938641470329,7.999957591981826,-12.119938641470329,7.999957591981826
1787843781.481918,93,1,0,0.5765868425369263,0.29365289211273193,-9.282276109847881,7.999957591981826,-9.282276109847881,7.999957591981826
1787843781.6414835,94,1,0,0.5765868425369263,0.2858485281467438,-9.282276109847881,7.999957591981826,-9.282276109847881,7.999957591981826
1787843781.6604643,95,1,0,0.5216454863548279,0.29458868503570557,-2.623419039381132,7.999957591981826,-4.282276109847881,7.999957591981826
1787843781.72579,96,1,0,0.5493593215942383,0.30000004172325134,-5.982318064771921,7.999957591981826,-5.982318064771921,7.999957591981826
1787843781.8478765,97,1,0,0.5431894659996033,0.29383009672164917,-5.234535530720083,7.999957591981826,-5.234535530720083,7.999957591981826
1787843781.8680232,98,1,0,0.5843912959098816,0.30145737528800964,-10.228170844433349,7.999957591981826,-10.228170844433349,7.999957591981826
1787843781.9276814,99,1,0,0.6070348024368286,0.31255674362182617,-12.972549287465847,7.999957591981826,-12.972549287465847,7.999957591981826
1787843782.0508733,100,1,0,0.5859304666519165,0.30552196502685547,-10.414717349479291,7.999957591981826,-10.414717349479291,7.999957591981826
1787843782.1016622,101,1,0,0.5766015648841858,0.3061699867248535,-9.284060448876899,7.999957591981826,-9.284060448876899,7.999957591981826
1787843782.1271458,102,1,0,0.5212149620056152,0.313417911529541,-2.571239764860478,7.999957591981826,-4.284060448876899,7.999957591981826
1787843782.2607837,103,1,0,0.5308496356010437,0.30000004172325134,-3.738956014527102,7.999957591981826,-3.738956014527102,7.999957591981826
1787843782.2934575,104,1,0,0.5531736016273499,0.3092617392539978,-6.44460635418078,7.999957591981826,-6.44460635418078,7.999957591981826
1787843782.3312573,105,1,0,0.5431894659996033,0.3123399019241333,-5.234535530720083,7.999957591981826,-5.234535530720083,7.999957591981826
1787843782.3916519,106,1,0,0.5531736016273499,0.3248705267906189,-6.44460635418078,7.999957591981826,-6.44460635418078,7.999957591981826
1787843782.4584143,107,1,0,0.5577912926673889,0.3195915222167969,-7.004267541452563,7.999957591981826,-7.004267541452563,7.999957591981826
1787843782.527596,108,1,0,0.5531736016273499,0.3248705267906189,-6.44460635418078,7.999957591981826,-6.44460635418078,7.999957591981826
1787843782.5926635,109,1,0,0.5531736016273499,0.3248705267906189,-6.44460635418078,7.999957591981826,-6.44460635418078,7.999957591981826
1787843782.6580994,110,0,0,,,,,-6.44460635418078,7.999957591981826
1787843782.7257168,111,1,0,0.5531736016273499,0.3248705267906189,-6.44460635418078,7.999957591981826,-6.44460635418078,7.999957591981826
1787843782.792632,112,1,0,0.5298731327056885,0.32207611203193665,-3.6206044909950705,7.999957591981826,-3.6206044909950705,7.999957591981826
1787843782.8586478,113,1,0,0.5453692078590393,0.3170660138130188,-5.498718843639964,7.999957591981826,-5.498718843639964,7.999957591981826
1787843782.9246845,114,1,0,0.5580918192863464,0.3061699867248535,-7.040691174587429,7.999957591981826,-7.040691174587429,7.999957591981826
1787843782.990606,115,1,0,0.5431894659996033,0.3061699867248535,-5.234535530720083,7.999957591981826,-5.234535530720083,7.999957591981826
